"video_id","feature_names"
"brightcove5760439532001","Automobile, Car, Transportation, Vehicle, Sports Car, Coupe, Person, People, Human, Car Wheel, Wheel, Spoke, Tire, Trademark, Logo, Machine, TEXT_TOP_CENTER"
"brightcove5767665002001","Car, Automobile, Transportation, TEXT_TOP_RIGHT, Sports Car, Vehicle, Coupe, Road, Freeway, Asphalt, Tarmac, Logo, Trademark, Car Seat, Gearshift, Highway, Mustang, Headrest, Building, Home Decor"
"brightcove5767716775001","Car, Automobile, Transportation, TEXT_TOP_RIGHT, Suv, Vehicle, Logo, Trademark, Headrest, Cushion, Home Decor, Wheel, Car Wheel, Steering Wheel, Spoke, Tire, Coupe, Sports Car, Machine, Sedan"
"brightcove5772857786001","Person, Human, People, Glasses, Clothing, Coat, Suit, Overcoat, Transportation, Bus, Vehicle, Furniture, Pottery, Flora, Plant, Couch, Jar, Potted Plant, Vase, Van"
"brightcove5801786442001","Person, Human, People, Car, Automobile, Beard, Transportation, Headrest, Cushion, Home Decor, Convertible, Vehicle, Driving, TEXT_BOTTOM_CENTER, Car Seat, Logo, Trademark, Building, Urban, Furniture"
"facebook10153671730864205","Person, Human, People, Beard, Crowd, Celebrating, Car, Automobile, Transportation, TEXT_BOTTOM_LEFT, Bottle, Dance, Vehicle, Party, Silhouette, Poster, Leisure Activities, Dance Pose, Tango, TEXT_BOTTOM_CENTER"
"facebook10153684085649205","People, Person, Human, Crowd, Audience, Speech, Debate, TEXT_BOTTOM_CENTER, TEXT_BOTTOM_RIGHT, Automobile, Car, Car Show, Stage, Clothing, Swimwear, Transportation, Bikini, Electronics, Vehicle, Screen"
"facebook10153849695049205","Person, Human, People, Speech, Crowd, Audience, Debate, Text, TEXT_BOTTOM_LEFT, Signature, Handwriting, Autograph, Arrow, Female, Poster, Girl, TEXT_BOTTOM_RIGHT, Woman, Flyer, Paper"
"facebook10153900765708387","Human, Person, People, Barack Obama, Flora, Jar, Plant, Pottery, Vase, Potted Plant, Clothing, Trademark, Logo, Coat, Overcoat, Smoke, Footwear, Suit, Boot, Shoe"
"facebook10153902182738387","People, Human, Person, Flora, Jar, Plant, Pottery, Potted Plant, Vase, Blonde, Girl, Female, Underwear, Panties, Lingerie, Food, Dessert, Pastry, Donut, Woman"
