"videoid;""analysistype"";""score"";""type"";""text"";""section"";""source""",
"facebook1386460418125111;""Entities"";0","999820232391357;""QUANTITY"";""25 years"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","904296398162842;;""a stool sample"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999027967453003;;""weight"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","997338593006134;;""a mysterious debilitating condition"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","944907307624817;""QUANTITY"";""about 10 ounces"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","825971007347107;;""a sample"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","862900674343109;;""kind"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","986330270767212;;""these filter bags"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","996293723583221;;""the procedure"";1;""subtitles"""
"facebook1386460418125111;""Entities"";0","998174607753754;""QUANTITY"";""$40"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","99370688199997;;""a patient"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","959960639476776;;""our donors"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","998976767063141;""QUANTITY"";""250ccs"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","996180951595306;;""those people"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","995507419109344;;""HIV"
"facebook1386460418125111;""KeyPhrases"";0","989670157432556;;""a poop donation"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","999819457530975;""QUANTITY"";""one"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","983864903450012;;""all the way"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","971374332904816;;""stool"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","927350163459778;;""$40"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","903304874897003;;""the sample"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999448895454407;;""a ton"";1;""subtitles"""
"facebook1386460418125111;""Entities"";0","771525502204895;""PERSON"";""Ninja Turd-le"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","693311870098114;;""the antibiotics"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999016404151916;;""my symptoms"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","838345348834991;;""the material"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","990026414394379;;""fun"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","759251892566681;;""syringes"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","996728003025055;;""most people"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","996469736099243;""QUANTITY"";""175 pounds"";1;""subtitles"""
"facebook1386460418125111;""Entities"";0","912246704101562;""QUANTITY"";""over 90%"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999634742736816;;""nausea"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","957985401153564;;""The minimum size"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","994089961051941;;""the efficacy"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","958627343177795;;""poop"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999204337596893;;""C. Diff"";1;""subtitles"""
"facebook1386460418125111;""Entities"";0","999941885471344;""QUANTITY"";""581 grams"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","975244104862213;;""poop related puns"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","969146907329559;;""a colonoscopy"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","992899835109711;;""the material"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","999988436698914;""ORGANIZATION"";""Focal Point"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","984593689441681;;""about 4%"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","993980228900909;;""this way"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","989533424377441;;""100%"";1;""subtitles"""
"facebook1386460418125111;""Entities"";0","998347163200378;""PERSON"";""C. Diff"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","988817870616913;;""rack"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","989380240440369;;""Ryan"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999178171157837;;""a smell"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","991898894309998;;""other conditions"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","939888775348663;;""a bacterium"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","999997079372406;""QUANTITY"";""$40"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","992167592048645;;""Prozac"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","992563545703888;;""the latest innovations"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","995325207710266;;""science"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","9698606133461;;""Every morning"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","976275563240051;;""a miracle"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999932885169983;;""bigger"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","990092873573303;;""Massachusetts"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","990422666072846;;""250ccs"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","889613091945648;;""the end"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","95536345243454;""DATE"";""last year"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","939058244228363;;""about half a million patients"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","917699337005615;;""a stool sample"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","311813026666641;""TITLE"";""OpenBiome"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","999994218349457;""OTHER"";""Clostridium difficile"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","968842506408691;;""80%"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","904665112495422;;""your aim"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","99762886762619;;""Some donors"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","998658776283264;;""their last resort"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","891157865524292;;""our freezer"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","999412775039673;""QUANTITY"";""one of these containers"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","83322662115097;;""twice as hard"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","994997262954712;;""an STD"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","990704894065857;;""20 years"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999775350093842;;""an IV"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","864566564559937;;""Albus Dump-ledore"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","941778898239136;;""the colon"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","997024834156036;;""the dominant symptom"";1;""subtitles"""
"facebook1386460418125111;""Entities"";0","995986044406891;""LOCATION"";""Massachusetts"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","731872498989105;;""pain"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","942718982696533;""QUANTITY"";""about 155 pounds"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","99002331495285;;""replacement poop"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","995375454425812;;""one treatment"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","930846989154816;;""Focal Point"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","984043836593628;;""second nature"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","896192133426666;;""clinics"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999897420406342;;""The science"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","850194752216339;;""anything else"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","995106279850006;;""your feces"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","9933642745018;;""A nonprofit"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","984939396381378;;""all that healthy bacteria"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","917183637619019;""PERSON"";""Scooby Doo-Doo"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999190926551819;;""The population"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","988588750362396;;""C.Diff"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","995613694190979;;""the pass rate"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","99990713596344;""OTHER"";""cancer"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","895975232124329;;""success"";1;""subtitles"""
"facebook1386460418125111;""Entities"";0","999464452266693;""PERSON"";""C. Diff"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999337315559387;;""your body"";1;""subtitles"""
"facebook1386460418125111;""Entities"";0","938664674758911;""QUANTITY"";""200 grams"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","957802653312683;;""the donors"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999058544635773;;""passage"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","99649316072464;;""a bunch"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","952021360397339;;""C. Diff"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999334454536438;;""a little kind"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","989931344985962;;""a urologist"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","97447794675827;;""terms"";0;""subtitles"""
