"video_id","name","attribute_type"
"facebook10154678475584205","Speech","Rekognition Labels"
"facebook10154986308819205","Speech","Rekognition Labels"
"facebook10155156653569205","Tree","Rekognition Labels"
"facebook10155246037139205","Blonde","Rekognition Labels"
"facebook10154219205499205","Blonde","Rekognition Labels"
"facebook10154990092349205","Blonde","Rekognition Labels"
"facebook10154618928554205","Blonde","Rekognition Labels"
"facebook10155017669219205","Diploma","Rekognition Labels"
"facebook10154065021179205","Head","Rekognition Labels"
"facebook10154678475584205","Head","Rekognition Labels"
"facebook10155131927994205","Head","Rekognition Labels"
"facebook10153734907314205","Kiosk","Rekognition Labels"
"facebook1386460418125111","Mouth","Rekognition Labels"
"facebook10155510542154205","Pool Table","Rekognition Labels"
"facebook10155026108719205","Pool Table","Rekognition Labels"
"facebook10154512789279205","Shirt","Rekognition Labels"
"facebook10154155444164205","Shirt","Rekognition Labels"
"facebook10155167824359205","Shirt","Rekognition Labels"
"facebook10153552898479205","Speech","Rekognition Labels"
"facebook10155333763299205","Speech","Rekognition Labels"
"facebook10154875776849205","Speech","Rekognition Labels"
"facebook10154993337014205","Speech","Rekognition Labels"
"facebook10154219205499205","Speech","Rekognition Labels"
"facebook10154581247679205","Speech","Rekognition Labels"
"facebook10153752516194205","Tree","Rekognition Labels"
"facebook10154696325399205","Badge","Rekognition Labels"
"facebook10154840630879205","Blonde","Rekognition Labels"
"facebook10153515981989205","Blonde","Rekognition Labels"
"facebook1386460418125111","Dimples","Rekognition Labels"
"facebook10154684443609205","Dog House","Rekognition Labels"
"facebook10154836912159205","Envelope","Rekognition Labels"
"facebook10153752516194205","Envelope","Rekognition Labels"
"facebook10154955635619205","Envelope","Rekognition Labels"
"facebook10154986308819205","Hardhat","Rekognition Labels"
"facebook10154219205499205","Head","Rekognition Labels"
"facebook10155510542154205","Head","Rekognition Labels"
"facebook10154556967779205","Head","Rekognition Labels"
"facebook10153689741269205","Head","Rekognition Labels"
"facebook10154728060939205","Hourglass","Rekognition Labels"
"facebook10153515981989205","Kiosk","Rekognition Labels"
"facebook10155068335464205","Mouth","Rekognition Labels"
"facebook10154684443609205","Shirt","Rekognition Labels"
"facebook10154448823304205","Shirt","Rekognition Labels"
"facebook10154138769114205","Asphalt","Rekognition Labels"
"facebook10155008400254205","Christmas Stocking","Rekognition Labels"
"facebook10155103334964205","Costume","Rekognition Labels"
"facebook10154672059924205","Ct Scan","Rekognition Labels"
"facebook10154787494344205","Ct Scan","Rekognition Labels"
"facebook10154728060939205","Face","Rekognition Labels"
"facebook10155156653569205","Face","Rekognition Labels"
"facebook10154870267304205","Face","Rekognition Labels"
"facebook10155026108719205","Fence","Rekognition Labels"
"facebook10154699846294205","Flora","Rekognition Labels"
"facebook10154407910979205","Flora","Rekognition Labels"
"facebook10155068335464205","Flora","Rekognition Labels"
"facebook10154935736199205","Flora","Rekognition Labels"
"facebook10154728060939205","Glass","Rekognition Labels"
"facebook10155095401364205","Kid","Rekognition Labels"
"facebook10153689741269205","Kid","Rekognition Labels"
"facebook10154495684584205","Kid","Rekognition Labels"
"facebook10153684085649205","Kid","Rekognition Labels"
"facebook10154990092349205","Lighting","Rekognition Labels"
"facebook10154768807754205","Priest","Rekognition Labels"
"facebook10155113408869205","Teacher","Rekognition Labels"
"facebook10155017669219205","Teacher","Rekognition Labels"
"facebook10154248538534205","Ankle","Rekognition Labels"
"facebook10154696325399205","Face","Rekognition Labels"
"facebook10155071525564205","Flora","Rekognition Labels"
"facebook10153752552479205","Flora","Rekognition Labels"
"facebook10155333763299205","Flora","Rekognition Labels"
"facebook10154944144584205","Flora","Rekognition Labels"
"facebook10153752516194205","Glass","Rekognition Labels"
"facebook10155147853909205","Kid","Rekognition Labels"
"facebook10154219205499205","Kid","Rekognition Labels"
"facebook10154684443609205","Lighting","Rekognition Labels"
"facebook10154787494344205","Lighting","Rekognition Labels"
"facebook10153552924729205","Teacher","Rekognition Labels"
"facebook10154706413024205","Teacher","Rekognition Labels"
"facebook10154787494344205","Troop","Rekognition Labels"
"facebook10155315487584205","Ankle","Rekognition Labels"
"facebook10155510542154205","Ankle","Rekognition Labels"
"facebook10155065918454205","Asphalt","Rekognition Labels"
"facebook10154146814364205","Ct Scan","Rekognition Labels"
"facebook10154058667789205","Ct Scan","Rekognition Labels"
"facebook10154672059924205","Face","Rekognition Labels"
"facebook10155131927994205","Face","Rekognition Labels"
"facebook10155510542154205","File Folder","Rekognition Labels"
"facebook1386460418125111","Fireworks","Rekognition Labels"
"facebook10153929545604205","Flora","Rekognition Labels"
"facebook10154155444164205","Flora","Rekognition Labels"
"facebook10154410776394205","Flora","Rekognition Labels"
"facebook10154787494344205","Flora","Rekognition Labels"
"facebook10154475706859205","Flora","Rekognition Labels"
"facebook10154875776849205","Flora","Rekognition Labels"
"facebook10153752474144205","Gardening","Rekognition Labels"
"facebook10155167824359205","Kid","Rekognition Labels"
"facebook10153761244924205","Kid","Rekognition Labels"
"facebook10153567230034205","Silhouette","Rekognition Labels"
"facebook10154986308819205","Silhouette","Rekognition Labels"
"facebook10154795623289205","Silhouette","Rekognition Labels"
"facebook10155246037139205","Silhouette","Rekognition Labels"
"facebook10153734907314205","Silhouette","Rekognition Labels"
"facebook10155113408869205","Troop","Rekognition Labels"
"facebook10154058667789205","Asphalt","Rekognition Labels"
"facebook10153686408054205","Asphalt","Rekognition Labels"
"facebook10154990092349205","Dance","Rekognition Labels"
"facebook10154875697474205","Face","Rekognition Labels"
"facebook10155156653569205","Fence","Rekognition Labels"
"facebook10154836912159205","Fence","Rekognition Labels"
"facebook1386460418125111","File Folder","Rekognition Labels"
"facebook10154138769114205","Flora","Rekognition Labels"
"facebook10154946550999205","Flora","Rekognition Labels"
"facebook10153686408054205","Flora","Rekognition Labels"
"facebook10153755247184205","Flora","Rekognition Labels"
"facebook10155156653569205","Flora","Rekognition Labels"
"facebook10155071157144205","Kid","Rekognition Labels"
"facebook10154955635619205","Kid","Rekognition Labels"
"facebook10154893718034205","Kid","Rekognition Labels"
"facebook10154672059924205","Kid","Rekognition Labels"
"facebook10154986308819205","Kid","Rekognition Labels"
"facebook10155333763299205","Lighting","Rekognition Labels"
"facebook10155017669219205","Lighting","Rekognition Labels"
"facebook10155170074369205","Lighting","Rekognition Labels"
"facebook10154944144584205","Lighting","Rekognition Labels"
"facebook10155510542154205","Silhouette","Rekognition Labels"
"facebook10154944144584205","Teacher","Rekognition Labels"
"facebook1386460418125111","Ankle","Rekognition Labels"
"facebook10154065021179205","Ankle","Rekognition Labels"
"facebook10155131927994205","Ct Scan","Rekognition Labels"
"facebook337999886677455","Ct Scan","Rekognition Labels"
"facebook10155246037139205","Ct Scan","Rekognition Labels"
"facebook1386460418125111","Face","Rekognition Labels"
"facebook10153929545604205","Fence","Rekognition Labels"
"facebook10154494316084205","Flora","Rekognition Labels"
"facebook10155017669219205","Kid","Rekognition Labels"
"facebook10155170074369205","Kid","Rekognition Labels"
"facebook10153752474144205","Kid","Rekognition Labels"
"facebook10155035197919205","Kid","Rekognition Labels"
"facebook10154138769114205","Lighting","Rekognition Labels"
"facebook10154556967779205","Priest","Rekognition Labels"
"facebook10155150397374205","Ct Scan","Rekognition Labels"
"facebook10153567230034205","Ct Scan","Rekognition Labels"
"facebook10154494316084205","Face","Rekognition Labels"
"facebook10154787494344205","Face","Rekognition Labels"
"facebook10154747079194205","Face","Rekognition Labels"
"facebook10155065918454205","Flora","Rekognition Labels"
"facebook10154875697474205","Flora","Rekognition Labels"
"facebook10155147853909205","Flora","Rekognition Labels"
"facebook10153925858929205","Kid","Rekognition Labels"
"facebook10155103334964205","Kid","Rekognition Labels"
"facebook10154946550999205","Kid","Rekognition Labels"
"facebook337999886677455","Ankle","Rekognition Labels"
"facebook10154795623289205","Church","Rekognition Labels"
"facebook10155254306404205","Conference Room","Rekognition Labels"
"facebook10154875776849205","Face","Rekognition Labels"
"facebook10154768807754205","Crowd","Rekognition Labels"
"facebook10155035197919205","Crowd","Rekognition Labels"
"facebook10155150397374205","Crowd","Rekognition Labels"
"facebook337999886677455","Crowd","Rekognition Labels"
"facebook10153528453574205","Crowd","Rekognition Labels"
"facebook10154058667789205","Driving","Rekognition Labels"
"facebook10155113408869205","Executive","Rekognition Labels"
"facebook10154747079194205","Executive","Rekognition Labels"
"facebook10154875776849205","Freeway","Rekognition Labels"
"facebook10154507958999205","Jersey","Rekognition Labels"
"facebook10155131927994205","Jersey","Rekognition Labels"
"facebook10154859927574205","Necklace","Rekognition Labels"
"facebook10155095401364205","Newborn","Rekognition Labels"
"facebook337999886677455","Plan","Rekognition Labels"
"facebook10153552893334205","Crowd","Rekognition Labels"
"facebook10154990092349205","Crowd","Rekognition Labels"
"facebook10155131927994205","Crowd","Rekognition Labels"
"facebook10154407910979205","Crowd","Rekognition Labels"
"facebook1386460418125111","Doctor","Rekognition Labels"
"facebook10154935736199205","Driving","Rekognition Labels"
"facebook10154870267304205","Executive","Rekognition Labels"
"facebook10154787494344205","Jersey","Rekognition Labels"
"facebook10155103334964205","Jersey","Rekognition Labels"
"facebook10154672059924205","Jersey","Rekognition Labels"
